RE78 TREAT MARR NODEGREE BLACK HISPANIC EDUC AGE RE74 RE75 U74 U75 TYPE
8087.5 1 1 1 1 0 11 31 0 0 1 1 EXP
0 1 0 1 1 0 11 18 0 0 1 1 EXP
2349 1 0 0 1 0 12 25 0 0 1 1 EXP
590.8 1 1 1 1 0 11 30 0 0 1 1 EXP
0 1 0 1 1 0 10 17 0 0 1 1 EXP
1067.5 1 0 1 1 0 9 37 0 0 1 1 EXP
7285 1 1 1 1 0 4 41 0 0 1 1 EXP
13167.5 1 1 0 1 0 14 42 0 0 1 1 EXP
1048.4 1 0 1 0 0 11 22 0 0 1 1 EXP
0 1 0 1 1 0 8 17 0 0 1 1 EXP
1923.9 1 0 1 1 0 8 29 0 0 1 1 EXP
4666.2 1 0 1 1 0 10 35 0 0 1 1 EXP
549.3 1 0 1 1 0 11 27 0 0 1 1 EXP
762.9 1 0 1 1 0 4 29 0 0 1 1 EXP
10694.3 1 0 1 1 0 9 28 0 0 1 1 EXP
0 1 0 1 1 0 11 27 0 0 1 1 EXP
0 1 0 1 0 0 7 23 0 0 1 1 EXP
8546.7 1 1 1 1 0 5 45 0 0 1 1 EXP
7479.7 1 0 0 1 0 13 29 0 0 1 1 EXP
0 1 0 1 1 0 9 27 0 0 1 1 EXP
647.2 1 0 0 1 0 13 46 0 0 1 1 EXP
0 1 0 1 1 0 6 18 0 0 1 1 EXP
11965.8 1 0 0 1 0 12 25 0 0 1 1 EXP
9598.5 1 0 0 1 0 15 28 0 0 1 1 EXP
18783.3 1 0 1 0 0 11 25 0 0 1 1 EXP
18678.1 1 0 0 1 0 12 22 0 0 1 1 EXP
0 1 0 1 1 0 9 21 0 0 1 1 EXP
23005.6 1 0 1 1 0 11 40 0 0 1 1 EXP
6456.7 1 0 1 1 0 11 22 0 0 1 1 EXP
0 1 0 0 1 0 12 25 0 0 1 1 EXP
2321.1 1 0 0 1 0 12 18 0 0 1 1 EXP
4941.8 1 0 0 0 0 12 38 0 0 1 1 EXP
0 1 0 0 1 0 13 27 0 0 1 1 EXP
0 1 0 1 1 0 8 27 0 0 1 1 EXP
0 1 0 1 1 0 11 38 0 0 1 1 EXP
3881.3 1 0 1 0 1 8 23 0 0 1 1 EXP
17231 1 0 1 1 0 11 26 0 0 1 1 EXP
8048.6 1 0 0 0 0 12 21 0 0 1 1 EXP
0 1 0 1 1 0 8 25 0 0 1 1 EXP
14509.9 1 1 1 1 0 11 31 0 0 1 1 EXP
0 1 0 1 1 0 10 17 0 0 1 1 EXP
0 1 0 1 1 0 11 25 0 0 1 1 EXP
9983.8 1 0 0 1 0 12 21 0 0 1 1 EXP
0 1 0 1 1 0 11 44 0 0 1 1 EXP
5587.5 1 0 0 0 0 12 25 0 0 1 1 EXP
4482.8 1 0 1 1 0 9 18 0 0 1 1 EXP
2456.2 1 0 0 1 0 12 42 0 0 1 1 EXP
0 1 0 1 1 0 10 25 0 0 1 1 EXP
26817.6 1 0 1 0 1 9 31 0 0 1 1 EXP
0 1 0 1 1 0 10 24 0 0 1 1 EXP
9265.8 1 0 1 1 0 10 26 0 0 1 1 EXP
485.2 1 0 1 1 0 11 25 0 0 1 1 EXP
4814.6 1 0 1 1 0 11 18 0 0 1 1 EXP
7458.1 1 0 1 1 0 11 19 0 0 1 1 EXP
0 1 0 1 1 0 9 43 0 0 1 1 EXP
34099.3 1 0 0 1 0 13 27 0 0 1 1 EXP
1953.3 1 0 1 1 0 9 17 0 0 1 1 EXP
0 1 0 1 1 0 11 30 0 0 1 1 EXP
0 1 1 1 1 0 10 26 2028 0 0 1 EXP
8881.7 1 0 1 1 0 9 20 6084 0 0 1 EXP
6210.7 1 0 1 0 1 9 17 445.2 74.3 0 0 EXP
0 1 0 0 1 0 12 20 989.3 165.2 0 0 EXP
929.9 1 0 1 1 0 11 18 858.3 214.6 0 0 EXP
0 1 1 0 1 0 12 27 3670.9 334 0 0 EXP
12558 1 0 0 0 0 12 21 3670.9 334 0 0 EXP
22163.3 1 0 0 1 0 12 27 2143.4 357.9 0 0 EXP
1652.6 1 0 0 1 0 12 20 0 377.6 1 0 EXP
8124.7 1 0 1 1 0 10 19 0 385.3 1 0 EXP
671.3 1 0 0 1 0 12 23 5506.3 501.1 0 0 EXP
17815 1 0 0 1 0 14 29 0 679.7 1 0 EXP
9737.2 1 0 1 1 0 10 18 0 798.9 1 0 EXP
17685.2 1 0 1 1 0 9 19 0 798.9 1 0 EXP
0 1 1 0 0 0 13 27 9381.6 853.7 0 0 EXP
4321.7 1 0 1 0 0 11 18 3678.2 919.6 0 0 EXP
1773.4 1 1 1 1 0 9 27 0 934.4 1 0 EXP
0 1 0 0 1 0 12 22 5605.9 936.2 0 0 EXP
11233.3 1 1 1 1 0 10 23 0 936.4 1 0 EXP
559.4 1 0 0 0 1 12 23 9385.7 1117.4 0 0 EXP
1085.4 1 0 1 1 0 11 20 3637.5 1220.8 0 0 EXP
5445.2 1 0 1 1 0 9 17 1716.5 1253.4 0 0 EXP
60307.9 1 0 1 1 0 11 28 0 1284.1 1 0 EXP
1460.4 1 1 1 1 0 11 26 0 1392.9 1 0 EXP
6943.3 1 0 1 1 0 11 20 16318.6 1485 0 0 EXP
4032.7 1 1 1 1 0 11 24 824.4 1666.1 0 0 EXP
10363.3 1 0 1 1 0 9 31 0 1698.6 1 0 EXP
4232.3 1 1 1 0 0 8 23 0 1713.2 1 0 EXP
11141.4 1 0 1 1 0 10 18 2143.4 1784.3 0 0 EXP
0 1 0 0 1 0 12 29 10881.9 1817.3 0 0 EXP
13385.9 1 0 1 0 0 11 26 0 2226.3 1 0 EXP
4849.6 1 0 1 1 0 9 24 9154.7 2288.7 0 0 EXP
0 1 0 0 1 0 12 25 14426.8 2409.3 0 0 EXP
1660.5 1 0 1 1 0 10 24 4250.4 2421.9 0 0 EXP
0 1 0 1 1 0 8 46 3165.7 2594.7 0 0 EXP
2484.5 1 0 0 0 0 12 31 0 2611.2 1 0 EXP
4146.6 1 0 1 1 0 11 19 2305 2615.3 0 0 EXP
9970.7 1 0 1 1 0 8 19 0 2657.1 1 0 EXP
0 1 0 1 1 0 11 27 2206.9 2666.3 0 0 EXP
26372.3 1 1 1 1 0 11 26 0 2754.6 1 0 EXP
5615.2 1 0 1 1 0 10 20 5005.7 2777.4 0 0 EXP
3196.6 1 0 1 1 0 10 28 0 2836.5 1 0 EXP
6167.7 1 0 0 1 0 12 24 13765.8 2842.8 0 0 EXP
7535.9 1 0 1 1 0 8 19 2636.4 2937.3 0 0 EXP
8484.2 1 0 0 1 0 12 23 6269.3 3040 0 0 EXP
1294.4 1 1 1 1 0 9 42 0 3058.5 1 0 EXP
0 1 0 0 1 0 13 25 12362.9 3090.7 0 0 EXP
5010.3 1 0 1 1 0 9 18 0 3287.4 1 0 EXP
9371 1 0 0 1 0 12 21 6473.7 3332.4 0 0 EXP
0 1 0 1 1 0 10 27 1001.1 3550.1 0 0 EXP
4279.6 1 0 1 1 0 8 21 989.3 3695.9 0 0 EXP
3462.6 1 0 1 1 0 9 22 2192.9 3837 0 0 EXP
7382.5 1 0 1 1 0 4 31 8517.6 4023.2 0 0 EXP
0 1 1 1 1 0 10 24 11703.2 4078.2 0 0 EXP
0 1 0 1 1 0 10 29 0 4399 1 0 EXP
10976.5 1 0 0 1 0 12 29 9748.4 4878.9 0 0 EXP
13829.6 1 0 1 0 0 10 19 0 5324.1 1 0 EXP
6788.5 1 1 1 0 1 11 19 5424.5 5463.8 0 0 EXP
9558.5 1 0 1 1 0 9 31 10717 5517.8 0 0 EXP
13228.3 1 1 1 1 0 10 22 1468.3 5588.7 0 0 EXP
743.7 1 0 1 1 0 9 21 6416.5 5749.3 0 0 EXP
5522.8 1 0 1 1 0 10 17 1291.5 5793.9 0 0 EXP
1424.9 1 1 0 1 0 12 26 8408.8 5794.8 0 0 EXP
1358.6 1 0 1 0 1 9 20 12260.8 5875 0 0 EXP
0 1 0 1 1 0 10 19 4121.9 6056.8 0 0 EXP
672.9 1 0 1 1 0 10 26 25929.7 6789 0 0 EXP
0 1 0 1 1 0 11 28 1929 6871.9 0 0 EXP
10092.8 1 1 0 0 1 12 22 492.2 7055.7 0 0 EXP
6281.4 1 0 1 1 0 11 33 0 7867.9 1 0 EXP
12590.7 1 0 0 0 0 12 22 6760 8455.5 0 0 EXP
5112 1 0 1 0 1 10 29 0 8853.7 1 0 EXP
15952.6 1 1 0 1 0 12 33 20279.9 10941.4 0 0 EXP
36646.9 1 1 0 1 0 14 25 35040.1 11536.6 0 0 EXP
12804 1 1 1 1 0 9 35 13602.4 13830.6 0 0 EXP
3786.6 1 1 1 1 0 8 35 13732.1 17976.2 0 0 EXP
4181.9 1 1 1 1 0 11 33 14660.7 25142.2 0 0 EXP
0 0 0 0 0 0 12 47 0 0 1 1 OBS
0 0 1 0 1 0 12 50 0 0 1 1 OBS
0 0 0 0 0 0 12 44 0 0 1 1 OBS
0 0 1 0 1 0 12 28 0 0 1 1 OBS
0 0 1 0 0 0 12 54 0 0 1 1 OBS
0 0 1 0 0 1 12 55 0 0 1 1 OBS
0 0 1 0 0 0 12 47 0 0 1 1 OBS
0 0 0 0 1 0 12 25 0 0 1 1 OBS
0 0 1 0 0 0 12 44 0 0 1 1 OBS
0 0 1 0 1 0 12 50 0 0 1 1 OBS
4728.725 0 0 0 1 0 12 23 0 0 1 1 OBS
0 0 1 0 0 0 14 49 0 0 1 1 OBS
0 0 1 0 0 0 14 55 0 0 1 1 OBS
0 0 1 0 1 0 14 34 0 0 1 1 OBS
11821.813 0 1 0 0 0 16 34 0 0 1 1 OBS
0 0 1 0 0 1 13 55 0 0 1 1 OBS
0 0 1 0 0 0 12 52 0 0 1 1 OBS
0 0 1 0 0 0 15 52 0 0 1 1 OBS
0 0 1 0 0 0 16 30 0 0 1 1 OBS
0 0 0 0 0 0 12 21 0 0 1 1 OBS
0 0 0 0 0 0 17 30 0 0 1 1 OBS
0 0 1 0 0 0 12 44 0 0 1 1 OBS
0 0 0 0 0 0 12 46 0 0 1 1 OBS
0 0 1 0 0 0 17 53 0 0 1 1 OBS
9014.1321 0 0 0 0 0 16 26 0 0 1 1 OBS
13299.539 0 1 0 0 0 12 49 0 0 1 1 OBS
1921.0445 0 1 0 0 0 15 39 0 0 1 1 OBS
11821.813 0 1 0 0 0 17 26 0 0 1 1 OBS
0 0 1 0 0 0 16 32 0 0 1 1 OBS
0 0 1 0 0 0 12 34 0 0 1 1 OBS
0 0 1 0 0 0 14 31 0 0 1 1 OBS
8866.3594 0 1 0 0 1 17 39 0 0 1 1 OBS
0 0 1 0 0 0 17 40 0 0 1 1 OBS
0 0 1 0 0 0 12 31 0 0 1 1 OBS
28076.805 0 1 0 0 0 13 27 0 0 1 1 OBS
0 0 1 0 0 0 12 48 0 0 1 1 OBS
0 0 1 0 0 0 13 41 0 0 1 1 OBS
0 0 0 0 0 0 14 26 0 0 1 1 OBS
0 0 0 0 0 0 17 50 0 0 1 1 OBS
12930.108 0 1 0 0 0 12 48 0 0 1 1 OBS
0 0 1 0 0 0 16 45 0 0 1 1 OBS
0 0 1 0 0 0 13 37 0 0 1 1 OBS
0 0 1 0 0 0 12 33 0 0 1 1 OBS
0 0 1 0 0 0 12 31 0 0 1 1 OBS
17732.719 0 1 0 1 0 12 36 0 0 1 1 OBS
0 0 1 0 0 0 13 44 0 0 1 1 OBS
0 0 1 0 0 0 17 28 0 0 1 1 OBS
0 0 1 0 0 0 17 30 0 0 1 1 OBS
0 0 1 0 0 0 16 42 0 0 1 1 OBS
0 0 1 0 0 0 12 30 0 0 1 1 OBS
0 0 1 0 0 0 16 27 0 0 1 1 OBS
0 0 1 0 0 0 12 37 0 0 1 1 OBS
0 0 1 0 0 0 12 37 0 0 1 1 OBS
22165.899 0 1 0 0 0 12 45 0 0 1 1 OBS
0 0 1 0 0 0 16 35 0 0 1 1 OBS
66497.696 0 1 0 0 0 17 37 0 0 1 1 OBS
0 0 1 0 0 0 17 27 0 0 1 1 OBS
0 0 1 0 0 0 14 47 0 0 1 1 OBS
0 0 1 0 0 0 12 48 0 0 1 1 OBS
0 0 1 0 0 0 12 42 0 0 1 1 OBS
0 0 1 0 0 0 12 43 0 0 1 1 OBS
0 0 1 0 0 0 12 46 0 0 1 1 OBS
0 0 1 0 0 0 12 46 0 0 1 1 OBS
0 0 1 0 0 0 12 46 0 0 1 1 OBS
8396.4424 0 1 0 0 0 16 29 0 0 1 1 OBS
0 0 1 0 0 0 13 39 0 0 1 1 OBS
0 0 1 0 0 0 12 32 0 0 1 1 OBS
0 0 1 0 0 0 16 48 0 0 1 1 OBS
0 0 1 0 0 0 16 48 0 0 1 1 OBS
0 0 1 0 0 0 13 41 0 0 1 1 OBS
0 0 1 0 0 0 13 42 0 0 1 1 OBS
0 0 1 0 0 0 13 42 0 0 1 1 OBS
0 0 1 0 0 0 13 42 0 0 1 1 OBS
0 0 1 0 0 0 13 54 0 0 1 1 OBS
0 0 1 0 0 0 14 29 0 0 1 1 OBS
0 0 1 0 0 0 12 54 0 0 1 1 OBS
0 0 1 0 0 0 12 54 0 0 1 1 OBS
0 0 1 0 0 0 14 26 0 0 1 1 OBS
36943.164 0 1 0 0 0 17 43 0 0 1 1 OBS
0 0 1 0 0 0 12 54 0 0 1 1 OBS
0 0 1 0 0 0 12 37 0 0 1 1 OBS
0 0 1 0 0 0 16 54 0 0 1 1 OBS
0 0 1 0 0 0 17 48 0 0 1 1 OBS
0 0 1 0 0 0 12 44 0 0 1 1 OBS
0 0 1 0 0 0 12 54 0 0 1 1 OBS
0 0 1 0 0 0 12 38 0 0 1 1 OBS
0 0 1 0 0 0 13 37 0 0 1 1 OBS
0 0 1 0 0 0 17 27 0 0 1 1 OBS
0 0 1 0 0 0 12 51 0 0 1 1 OBS
0 0 1 0 0 0 12 39 0 0 1 1 OBS
0 0 1 0 0 0 14 55 0 0 1 1 OBS
0 0 1 0 0 0 13 54 0 0 1 1 OBS
0 0 1 0 0 0 13 54 0 0 1 1 OBS
0 0 1 0 0 0 12 34 0 0 1 1 OBS
0 0 1 0 0 0 14 50 0 0 1 1 OBS
0 0 1 0 0 0 12 50 0 0 1 1 OBS
3657.3733 0 0 0 0 1 14 21 0 71.6129 1 0 OBS
0 0 1 0 0 0 12 26 0 71.6129 1 0 OBS
2659.9078 0 0 0 0 0 13 21 0 692.8548 1 0 OBS
0 0 1 0 0 0 16 23 0 1521.7742 1 0 OBS
14777.266 0 0 0 0 0 15 21 0 3222.5806 1 0 OBS
5319.8157 0 0 0 0 0 14 23 0 3401.6129 1 0 OBS
0 0 1 0 0 0 16 27 0 4833.871 1 0 OBS
26599.078 0 1 0 0 0 12 25 0 5729.0323 1 0 OBS
7388.6329 0 0 0 0 0 17 27 0 6087.0968 1 0 OBS
10344.086 0 1 0 0 0 12 55 0 6266.129 1 0 OBS
0 0 1 0 0 0 12 20 0 7161.2903 1 0 OBS
19210.445 0 1 0 0 0 12 18 0 8056.4516 1 0 OBS
20688.172 0 1 0 0 0 12 27 0 8235.4839 1 0 OBS
36943.164 0 1 0 0 0 16 28 0 8951.6129 1 0 OBS
11821.813 0 1 0 1 0 12 36 0 8951.6129 1 0 OBS
20688.172 0 1 0 1 0 13 33 0 10741.935 1 0 OBS
0 0 1 0 0 0 12 36 0 10741.935 1 0 OBS
29554.531 0 1 0 0 0 13 27 0 16112.903 1 0 OBS
17732.719 0 1 0 0 0 17 45 0 16112.903 1 0 OBS
17732.719 0 1 0 0 0 17 45 0 16112.903 1 0 OBS
17732.719 0 1 0 0 0 17 45 0 16112.903 1 0 OBS
0 0 1 0 0 0 12 31 0 17903.226 1 0 OBS
63542.243 0 1 0 0 0 12 34 0 17903.226 1 0 OBS
63542.243 0 1 0 0 0 12 34 0 17903.226 1 0 OBS
22165.899 0 1 0 0 0 14 47 0 17903.226 1 0 OBS
17732.719 0 1 0 0 0 16 35 0 19693.548 1 0 OBS
29554.531 0 1 0 0 0 17 43 0 21161.613 1 0 OBS
1220.6022 0 1 0 1 0 12 25 0 21483.871 1 0 OBS
22313.671 0 0 0 0 0 15 29 0 21483.871 1 0 OBS
20688.172 0 1 0 0 0 12 31 0 21483.871 1 0 OBS
22165.899 0 1 0 0 0 12 52 0 21483.871 1 0 OBS
32509.985 0 0 0 0 0 16 22 0 22558.065 1 0 OBS
28076.805 0 1 0 0 0 15 53 0 24169.355 1 0 OBS
36898.833 0 1 0 0 0 17 29 0 25959.677 1 0 OBS
39898.618 0 1 0 0 0 13 31 0 25959.677 1 0 OBS
29554.531 0 1 0 0 0 12 35 0 26138.71 1 0 OBS
23643.625 0 1 0 0 0 16 29 0 26854.839 1 0 OBS
31032.258 0 1 0 0 0 12 39 0 28645.161 1 0 OBS
0 0 1 0 0 0 14 37 0 32225.806 1 0 OBS
22165.899 0 1 0 0 0 14 30 0 32225.806 1 0 OBS
41376.344 0 1 0 0 0 17 43 0 42251.613 1 0 OBS
39898.618 0 1 0 0 0 17 32 0 46548.387 1 0 OBS
81274.962 0 1 0 0 0 12 44 0 71612.903 1 0 OBS
18609.011 0 1 0 0 0 16 32 577.9837 6910.6452 0 0 OBS
5910.9063 0 1 0 1 0 12 43 715.1324 1879.8387 0 0 OBS
10344.086 0 0 0 1 0 12 24 783.7067 0 0 1 OBS
2305.2535 0 0 0 0 0 13 22 783.7067 0 0 1 OBS
0 0 1 0 0 0 15 35 979.6334 537.0968 0 0 OBS
3250.9985 0 0 0 0 0 15 26 979.6334 1879.8387 0 0 OBS
0 0 1 0 0 0 17 29 979.6334 8951.6129 0 0 OBS
5910.9063 0 0 0 1 0 12 23 1077.5967 3222.5806 0 0 OBS
26599.078 0 1 0 0 0 12 19 1154.0081 8593.5484 0 0 OBS
1152.6267 0 1 0 0 0 16 48 1240.2159 1466.2742 0 0 OBS
1152.6267 0 1 0 0 0 16 48 1240.2159 1466.2742 0 0 OBS
0 0 1 0 1 0 12 22 1269.6049 0 0 1 OBS
2955.4531 0 0 0 1 0 12 20 1367.5682 12532.258 0 0 OBS
24825.806 0 1 0 0 0 17 24 1371.4868 0 0 1 OBS
4363.7266 0 1 0 0 0 16 27 1469.4501 1253.2258 0 0 OBS
11082.949 0 0 0 0 0 14 21 1506.6762 2685.4839 0 0 OBS
4728.725 0 1 0 0 0 13 53 1567.4134 3938.7097 0 0 OBS
4728.725 0 1 0 0 0 13 53 1567.4134 3938.7097 0 0 OBS
2955.4531 0 1 0 0 0 16 53 1665.3768 0 0 1 OBS
22165.899 0 1 0 0 0 15 22 1763.3401 5370.9677 0 0 OBS
4137.6344 0 0 0 0 0 15 21 1763.3401 9667.7419 0 0 OBS
1477.7266 0 1 0 0 0 12 30 1959.2668 1790.3226 0 0 OBS
1152.6267 0 0 0 1 0 12 21 1959.2668 5460.4839 0 0 OBS
21427.035 0 1 0 0 0 16 27 1959.2668 17545.161 0 0 OBS
5024.2704 0 0 0 0 0 15 22 1967.1039 2864.5161 0 0 OBS
0 0 1 0 1 0 12 22 2006.2892 2470.6452 0 0 OBS
11378.495 0 1 0 0 0 13 23 2155.1935 5370.9677 0 0 OBS
2770.7373 0 1 0 0 0 12 33 2351.1202 0 0 1 OBS
14777.266 0 0 0 0 0 13 24 2351.1202 3127.6935 0 0 OBS
17732.719 0 0 0 1 0 12 20 2351.1202 4475.8065 0 0 OBS
25860.215 0 0 0 0 0 16 22 2351.1202 23274.194 0 0 OBS
0 0 1 0 0 0 12 19 2547.0468 10741.935 0 0 OBS
25860.215 0 1 0 0 0 15 22 2547.0468 17187.097 0 0 OBS
6992.6022 0 1 0 0 0 14 43 2645.0102 0 0 1 OBS
11821.813 0 1 0 0 0 12 39 2742.9735 7161.2903 0 0 OBS
0 0 0 0 1 0 12 28 2938.9002 2864.5161 0 0 OBS
0 0 0 0 0 0 14 19 2938.9002 3222.5806 0 0 OBS
23643.625 0 1 0 0 0 17 26 2938.9002 12532.258 0 0 OBS
20688.172 0 1 0 0 0 12 18 3134.8269 11100 0 0 OBS
9974.6544 0 1 0 0 0 15 23 3320.9572 2506.4516 0 0 OBS
11821.813 0 0 0 1 0 12 24 3330.7536 4654.8387 0 0 OBS
5910.9063 0 1 0 0 0 12 27 3526.6802 0 0 1 OBS
24382.488 0 1 0 0 0 17 29 3526.6802 15217.742 0 0 OBS
11821.813 0 0 0 1 0 12 22 3579.5804 17133.387 0 0 OBS
1090.5622 0 1 0 0 0 12 27 3722.6069 254.2258 0 0 OBS
19210.445 0 1 0 0 0 15 27 3722.6069 4654.8387 0 0 OBS
13299.539 0 0 0 1 0 12 20 3730.444 8951.6129 0 0 OBS
17732.719 0 1 0 1 0 12 27 3918.5336 1994.4194 0 0 OBS
8866.3594 0 1 0 1 0 12 23 3918.5336 2864.5161 0 0 OBS
9752.9954 0 1 0 1 0 12 23 3918.5336 11637.097 0 0 OBS
39898.618 0 1 0 0 0 12 22 3918.5336 15396.774 0 0 OBS
24973.579 0 1 0 1 0 12 31 3918.5336 18440.323 0 0 OBS
9457.4501 0 0 0 0 0 17 26 4173.2383 11637.097 0 0 OBS
4433.1797 0 1 0 0 0 12 20 4310.387 0 0 1 OBS
22476.221 0 1 0 0 0 17 30 4310.387 4296.7742 0 0 OBS
16254.992 0 0 0 0 0 16 42 4398.554 17903.226 0 0 OBS
23052.535 0 1 0 0 0 14 21 4506.3136 9309.6774 0 0 OBS
0 0 1 0 0 0 16 25 4604.277 2954.0323 0 0 OBS
0 0 1 0 0 0 15 27 4702.2403 0 0 1 OBS
26599.078 0 1 0 0 0 17 26 4702.2403 19693.548 0 0 OBS
23643.625 0 1 0 0 0 16 29 4800.2037 17187.097 0 0 OBS
0 0 0 0 0 0 12 20 4811.9593 716.129 0 0 OBS
0 0 1 0 0 0 12 52 4898.167 0 0 1 OBS
33987.711 0 0 0 0 0 17 23 4898.167 2148.3871 0 0 OBS
17141.628 0 1 0 0 0 14 21 4898.167 7161.2903 0 0 OBS
17732.719 0 0 0 0 0 16 24 4898.167 8951.6129 0 0 OBS
5172.043 0 1 0 0 0 17 30 4898.167 12084.677 0 0 OBS
5030.1813 0 0 0 0 0 17 25 4996.1303 17414.468 0 0 OBS
7388.6329 0 1 0 0 0 12 21 5094.0937 6803.2258 0 0 OBS
9014.1321 0 1 0 0 0 12 28 5094.0937 10741.935 0 0 OBS
15244.227 0 1 0 0 0 12 20 5182.2607 6266.129 0 0 OBS
5319.8157 0 0 0 0 0 16 36 5290.0204 4833.871 0 0 OBS
12117.358 0 0 0 1 0 12 19 5387.9837 8056.4516 0 0 OBS
10048.541 0 1 0 1 0 12 21 5868.0041 3043.5484 0 0 OBS
5319.8157 0 1 0 0 0 12 47 5868.0041 9513.7742 0 0 OBS
33987.711 0 1 0 0 0 16 24 5877.8004 4833.871 0 0 OBS
17732.719 0 1 0 1 0 12 24 5877.8004 8951.6129 0 0 OBS
30101.29 0 1 0 0 0 17 25 5877.8004 10562.903 0 0 OBS
16993.856 0 1 0 0 0 16 21 5877.8004 10562.903 0 0 OBS
15959.447 0 1 0 1 0 12 31 5877.8004 11064.194 0 0 OBS
31032.258 0 1 0 0 0 14 26 5877.8004 13427.419 0 0 OBS
5763.1336 0 0 0 1 0 12 22 5891.5153 10367.758 0 0 OBS
14777.266 0 0 0 1 0 13 20 5897.3931 12532.258 0 0 OBS
27337.942 0 1 0 0 1 13 20 6073.7271 10025.806 0 0 OBS
26007.988 0 1 0 0 0 14 27 6269.6538 0 0 1 OBS
10344.086 0 0 0 0 0 12 26 6269.6538 11637.097 0 0 OBS
0 0 1 0 0 0 17 23 6367.6171 5370.9677 0 0 OBS
14186.175 0 0 0 1 0 12 23 6494.9694 12532.258 0 0 OBS
0 0 0 0 1 0 12 22 6583.1365 4475.8065 0 0 OBS
11208.556 0 0 0 1 0 12 21 6661.5071 11458.065 0 0 OBS
25121.352 0 1 0 0 0 12 21 6661.5071 12532.258 0 0 OBS
13742.857 0 1 0 0 0 14 28 6739.8778 7877.4194 0 0 OBS
8275.2688 0 1 0 1 0 12 27 6855.4745 0 0 1 OBS
0 0 0 0 0 0 14 25 6857.4338 1790.3226 0 0 OBS
3250.9985 0 1 0 0 0 12 30 6857.4338 3222.5806 0 0 OBS
24514.006 0 1 0 1 0 13 27 6857.4338 4096.2581 0 0 OBS
17363.287 0 0 0 0 0 13 22 6857.4338 6266.129 0 0 OBS
22165.899 0 1 0 0 0 16 23 6857.4338 14143.548 0 0 OBS
26599.078 0 1 0 1 0 12 24 6857.4338 14322.581 0 0 OBS
17732.719 0 0 0 0 0 13 19 6857.4338 15217.742 0 0 OBS
